Category,Subcategory,Column,Full Name,Description
Batting,Plate Discipline,FPSF,First Pitch Sacrifice Fly,Sac fly on first pitch
Batting,Plate Discipline,FPSCB,First Pitch Sac Bunt,Sac bunt on first pitch
Batting,Plate Discipline,FPO,First Pitch Out,Made out on first pitch
Batting,Plate Discipline,FPSS%,First Pitch Swing Success Rate,Success rate of first pitch swings
Batting,Batting Quality,#,Player Number,Player's jersey number
Batting,Batting Quality,Name,Player Name,Player's full name
Batting,Batting Quality,QAB1,Quality at Bat Type 1,Base Hit OR Sac Bunt OR Sac Fly OR Hard GB/LD/FB OR 6+ pitches
Batting,Batting Quality,QAB1%,QAB1 Percentage,QAB1/PA
Batting,Batting Quality,QAB2,Quality at Bat Type 2,Base Hit OR RBI OR Sac Bunt OR Sac Fly OR 6+ Pitches
Batting,Batting Quality,QAB2%,QAB2 Percentage,QAB2/PA
Batting,Batting Quality,QAB3,Quality at Bat Type 3,Hit w/RISP OR RBI OR Sac Bunt OR Sac Fly OR 6+ Pitches
Batting,Batting Quality,QAB3%,QAB3 Percentage,QAB3/PA
Batting,Batting Quality,P1,1 Pitch Plate Appearances,PAs ending after 1 pitch
Batting,Batting Quality,P2,2 Pitch Plate Appearances,PAs ending after 2 pitches
Batting,Batting Quality,P3,3 Pitch Plate Appearances,PAs ending after 3 pitches
Batting,Batting Quality,P4,4 Pitch Plate Appearances,PAs ending after 4 pitches
Batting,Batting Quality,P5,5 Pitch Plate Appearances,PAs ending after 5 pitches
Batting,Batting Quality,P6,6 Pitch Plate Appearances,PAs ending after 6 pitches
Batting,Batting Quality,P7,7 Pitch Plate Appearances,PAs ending after 7 pitches
Batting,Batting Quality,P8,8 Pitch Plate Appearances,PAs ending after 8 pitches
Batting,Batting Quality,P9,9 Pitch Plate Appearances,PAs ending after 9 pitches
Batting,Batting Quality,P10,10 Pitch Plate Appearances,PAs ending after 10 pitches
Batting,Batting Quality,P11,11 Pitch Plate Appearances,PAs ending after 11 pitches
Batting,Batting Quality,P12,12 Pitch Plate Appearances,PAs ending after 12 pitches
Batting,Batting Quality,P13+,13+ Pitch Plate Appearances,PAs with 13 or more pitches
Pitching,Record,#,Player Number,Player's jersey number
Pitching,Record,Name,Player Name,Player's full name
Pitching,Record,G,Games,Pitching games
Pitching,Record,SEQ,Sequence,The order in which the player pitched
Pitching,Record,W,Wins,Pitching wins
Pitching,Record,L,Losses,Pitching losses
Pitching,Record,SV,Saves,Save opportunities converted
Pitching,Record,HLD,Holds,Hold situations
Pitching,Record,SVOP,Save Opportunities,Total save situations
Pitching,Record,BS,Blown Saves,Failed save attempts
Pitching,Record,SV%,Save Percent,SV/SVOP
Pitching,Record,ST,Starts,Games started as pitcher
Pitching,Record,FIN,Finishes,Games finished as pitcher
Pitching,Record,CMP,Complete Games,Complete games pitched
Pitching,Record,GSc,Game Score,Quality start metric
Pitching,Record,QS,Quality Starts,Games with GSc > 50
Pitching,Record,TL,Tough Losses,Losses with QS
Pitching,Record,CW,Cheap Wins,Wins without QS
Pitching,Record,ShO,Shutouts,Complete game shutouts
Pitching,Record,GT,Games Totals,Total pitching games
Pitching,Record,GScT,Total Game Score,Cumulative game score
Pitching,Basic,#,Player Number,Player's jersey number
Pitching,Basic,Name,Player Name,Player's full name
Pitching,Basic,IP,Innings Pitched,Total innings pitched
Pitching,Basic,BF,Batters Faced,Total batters faced
Pitching,Basic,Ball,Balls,Balls thrown
Pitching,Basic,Str,Strikes,Strikes thrown
Pitching,Basic,B/S,Ball to Strike Ratio,Ball/Strike ratio
Pitching,Basic,PIT,Pitches,Total pitches thrown
Pitching,Basic,R,Runs,Runs allowed
Pitching,Basic,GI,Game Innings Average,Average innings per game
Pitching,Basic,RA,Run Average,Runs per game innings
Pitching,Basic,ER,Earned Runs,Earned runs allowed
Pitching,Basic,ERA,Earned Run Average,(ER/IP) × GI
Pitching,Basic,ERA9,ERA for 9 Innings,Standardized ERA for 9-inning games
Pitching,Basic,FIP,Fielding Independent Pitching,(13×HR + 3×BB - 2×K)/IP + 3.10
Pitching,Basic,O,Outs,Total outs recorded
Pitching,Basic,K,Strikeouts,Total strikeouts
Pitching,Basic,Kc,Strikeouts Looking,Called third strikes
Pitching,Basic,Ks,Strikeouts Swinging,Swinging third strikes
Pitching,Basic,H,Hits,Hits allowed
Pitching,Basic,BB,Walks,Walks allowed
Pitching,Basic,IBB,Intentional Walks,Intentional walks allowed
Pitching,Basic,K/BB,Strikeout to Walk Ratio,K/BB
Pitching,Basic,K/GI,Strikeouts per Game,K/GI
Pitching,Basic,BB/GI,Walks per Game,BB/GI
Pitching,Basic,H/GI,Hits per Game,H/GI
Pitching,Basic,HB,Hit Batters,Batters hit by pitch
Pitching,Basic,BK,Balks,Balk calls
Pitching,Basic,WP,Wild Pitches,Wild pitches thrown
Pitching,Basic,CI,Catcher's Interference,Catcher interference calls
Pitching,Basic,SCB,Sacrifice Bunts,Sacrifice bunts allowed
Pitching,Basic,SCF,Sacrifice Flys,Sacrifice flies allowed
Pitching,Basic,BT,Bunts,Total bunts allowed
Pitching,Basic,1B,Singles,Singles allowed
Pitching,Basic,2B,Doubles,Doubles allowed
Pitching,Basic,3B,Triples,Triples allowed
Pitching,Basic,HR,Homeruns,Home runs allowed
Pitching,Basic,WHIP,Walks + Hits per IP,(BB+H)/IP
Pitching,Basic,OBP,On Base Percentage,OBP against
Pitching,Basic,BAA,Batting Average Against,Opponent batting average
Pitching,Basic,BABIP,BABIP Against,Batting average on balls in play against
Pitching,Basic,GIT,Game Innings,Total game innings
Pitching,Basic,IR,Inherited Runners,Runners inherited from previous pitcher
Pitching,Basic,IRS,Inherited Runners Scored,Inherited runners who scored
Pitching,Basic,LOB,Left On Base,Runners left on base
Pitching,Basic,PK,Pickoffs Successful,Successful pickoff attempts
Pitching,Basic,PKF,Pickoffs Failed,Failed pickoff attempts
Pitching,Basic,Sc,Strikes Looking,Called strikes thrown
Pitching,Basic,Ss,Strikes Swinging,Swinging strikes induced
Pitching,Basic,F,Fouls,Foul balls induced
Pitching,Effectiveness,#,Player Number,Player's jersey number
Pitching,Effectiveness,Name,Player Name,Player's full name
Pitching,Effectiveness,GO,Ground Outs,Ground ball outs
Pitching,Effectiveness,AO,Air Outs,Fly ball/popup outs
Pitching,Effectiveness,GO/AO,Ground Out to Air Out Ratio,GO/AO
Pitching,Effectiveness,FPS,First Pitch Strikes,First pitch strikes thrown
Pitching,Effectiveness,FPB,First Pitch Balls,First pitch balls thrown
Pitching,Effectiveness,FPS%,First Pitch Strike Percentage,FPS/(FPS+FPB)
Pitching,Effectiveness,LOBB,Leadoff Walks,Walks to leadoff batter
Pitching,Effectiveness,LOH,Leadoff Hit,Hits to leadoff batter
Pitching,Effectiveness,LOHB,Leadoff Hit Batter,Hit leadoff batter with pitch
Pitching,Effectiveness,LOCI,Leadoff Catcher Interference,CI on leadoff batter
Pitching,Effectiveness,LOE,Leadoff Error,Error on leadoff batter
Pitching,Effectiveness,LOK,Leadoff Strikeout,Strikeout of leadoff batter
Pitching,Effectiveness,LOO,Leadoff Fielding Out,Leadoff batter made out
Pitching,Effectiveness,123,123 Innings,3 up 3 down innings
Pitching,Effectiveness,FsO,First Strike Field Outs,Outs after first strike
Pitching,Effectiveness,FsK,First Strike Strikeouts,Strikeouts after first strike
Pitching,Effectiveness,FsH,First Strike Hits,Hits after first strike
Pitching,Effectiveness,FsBB,First Strike Walks,Walks after first strike
Pitching,Effectiveness,3P,3 Pitch Innings,Innings with 3 pitches
Pitching,Effectiveness,4P,4 Pitch Innings,Innings with 4 pitches
Pitching,Effectiveness,5P,5 Pitch Innings,Innings with 5 pitches
Pitching,Effectiveness,6P,6 Pitch Innings,Innings with 6 pitches
Pitching,Effectiveness,7P,7 Pitch Innings,Innings with 7 pitches
Pitching,Effectiveness,8P,8 Pitch Innings,Innings with 8 pitches
Pitching,Effectiveness,9P,9 Pitch Innings,Innings with 9 pitches
Pitching,Effectiveness,10P,10 Pitch Innings,Innings with 10 pitches
Pitching,Effectiveness,11P,11 Pitch Innings,Innings with 11 pitches
Pitching,Effectiveness,12P,12 Pitch Innings,Innings with 12 pitches
Pitching,Effectiveness,13P,13 Pitch Innings,Innings with 13 pitches
Pitching,Effectiveness,14P,14 Pitch Innings,Innings with 14 pitches
Pitching,Effectiveness,15P,15 Pitch Innings,Innings with 15 pitches
Pitching,Effectiveness,16P+,16+ Pitch Innings,Innings with 16 or more pitches
Pitching,Effectiveness,1PA,1 Pitch Appearances,Plate appearances with 1 pitch
Pitching,Effectiveness,2PA,2 Pitch Appearances,Plate appearances with 2 pitches
Pitching,Effectiveness,3PA,3 Pitch Appearances,Plate appearances with 3 pitches
Pitching,Effectiveness,4PA,4 Pitch Appearances,Plate appearances with 4 pitches
Pitching,Effectiveness,5PA,5 Pitch Appearances,Plate appearances with 5 pitches
Pitching,Effectiveness,6PA,6 Pitch Appearances,Plate appearances with 6 pitches
Pitching,Effectiveness,7PA,7 Pitch Appearances,Plate appearances with 7 pitches
Pitching,Effectiveness,8P+A,8+ Pitch Appearances,Plate appearances with 8+ pitches
Pitching,Hit Type and Power,#,Player Number,Player's jersey number
Pitching,Hit Type and Power,Name,Player Name,Player's full name
Pitching,Hit Type and Power,GBs,Soft Ground Balls,Soft ground balls allowed
Pitching,Hit Type and Power,GBm,Medium Ground Balls,Medium ground balls allowed
Pitching,Hit Type and Power,GBh,Hard Ground Balls,Hard ground balls allowed
Pitching,Hit Type and Power,LDs,Soft Line Drives,Soft line drives allowed
Pitching,Hit Type and Power,LDm,Medium Line Drives,Medium line drives allowed
Pitching,Hit Type and Power,LDh,Hard Line Drives,Hard line drives allowed
Pitching,Hit Type and Power,PUs,Soft Popups,Soft popups allowed
Pitching,Hit Type and Power,PUm,Medium Popups,Medium popups allowed
Pitching,Hit Type and Power,PUh,Hard Popups,Hard popups allowed
Pitching,Hit Type and Power,FBs,Soft Flyballs,Soft fly balls allowed
Pitching,Hit Type and Power,FBm,Medium Flyballs,Medium fly balls allowed
Pitching,Hit Type and Power,FBh,Hard Flyballs,Hard fly balls allowed
Pitching,Hit Type and Power,BIP,Balls in Play,Total balls in play
Pitching,Hit Type and Power,GB%,Ground Ball Percentage,% ground balls
Pitching,Hit Type and Power,LD%,Line Drive Percentage,% line drives
Pitching,Hit Type and Power,PU%,Popup Percentage,% popups
Pitching,Hit Type and Power,FB%,Flyball Percentage,% fly balls
Pitching,Hit Type and Power,SH%,Soft Hit Percentage,% soft contact
Pitching,Hit Type and Power,MH%,Medium Hit Percentage,% medium contact
Pitching,Hit Type and Power,HH%,Hard Hit Percentage,% hard contact
Pitching,Pitch Types,#,Player Number,Player's jersey number
Pitching,Pitch Types,Name,Player Name,Player's full name
Pitching,Pitch Types,S%,Total Strike Percentage,Overall strike percentage
Pitching,Pitch Types,B%,Total Ball Percentage,Overall ball percentage
Pitching,Pitch Types,Fb,Fastballs,Fastball count
Pitching,Pitch Types,FbS,Fastballs for Strike,Fastball strikes
Pitching,Pitch Types,FbS%,Fastball Strike Percentage,FbS/Fb
Pitching,Pitch Types,Cu,Curves,Curveball count
Pitching,Pitch Types,CuS,Curves for Strike,Curveball strikes
Pitching,Pitch Types,CuS%,Curveball Strike Percentage,CuS/Cu
Pitching,Pitch Types,Sl,Sliders,Slider count
Pitching,Pitch Types,SlS,Sliders for Strike,Slider strikes
Pitching,Pitch Types,SlS%,Slider Strike Percentage,SlS/Sl
Pitching,Pitch Types,Ct,Cutters,Cutter count
Pitching,Pitch Types,CtS,Cutters for Strike,Cutter strikes
Pitching,Pitch Types,CtS%,Cutter Strike Percentage,CtS/Ct
Pitching,Pitch Types,Ch,Changeups,Changeup count
Pitching,Pitch Types,ChS,Changeups for Strike,Changeup strikes
Pitching,Pitch Types,ChS%,Changeup Strike Percentage,ChS/Ch
Pitching,Pitch Types,Sp,Splitters,Splitter count
Pitching,Pitch Types,SpS,Splitters for Strike,Splitter strikes
Pitching,Pitch Types,SpS%,Splitter Strike Percentage,SpS/Sp
Pitching,Pitch Types,Kn,Knuckleballs,Knuckleball count
Pitching,Pitch Types,KnS,Knuckleballs for Strike,Knuckleball strikes
Pitching,Pitch Types,KnS%,Knuckleball Strike Percentage,KnS/Kn
Pitching,Pitch Types,Dp,Dropballs,Dropball count
Pitching,Pitch Types,DpS,Dropballs for Strike,Dropball strikes
Pitching,Pitch Types,DpS%,Dropball Strike Percentage,DpS/Dp
Pitching,Pitch Types,Rs,Riseballs,Riseball count
Pitching,Pitch Types,RsS,Riseballs for Strike,Riseball strikes
Pitching,Pitch Types,RsS%,Riseball Strike Percentage,RsS/Rs
Pitching,Pitch Types,Sw,Screwballs,Screwball count
Pitching,Pitch Types,SwS,Screwballs for Strike,Screwball strikes
Pitching,Pitch Types,SwS%,Screwball Strike Percentage,SwS/Sw
Pitching,Pitch Types,Dc,Dropcurves,Dropcurve count
Pitching,Pitch Types,DcS,Dropcurves for Strike,Dropcurve strikes
Pitching,Pitch Types,DcS%,Dropcurve Strike Percentage,DcS/Dc
Pitching,Pitch Types,Or,Other Pitches,Other pitch types
Pitching,Pitch Types,OrS,Other Pitches for Strike,Other pitch strikes
Pitching,Pitch Types,OrS%,Other Strike Percentage,OrS/Or
Pitching,Pitch Types,FbMin,Minimum Fastball Speed,Slowest fastball
Pitching,Pitch Types,FbMax,Maximum Fastball Speed,Fastest fastball
Pitching,Pitch Types,FbTot,Total Fastball Speed,Sum for averaging
Pitching,Pitch Types,FbCnt,Fastball Speed Count,Number of fastballs with speed
Pitching,Pitch Types,FbAvg,Average Fastball Speed,FbTot/FbCnt
Pitching,Pitch Types,CuMin,Minimum Curve Speed,Slowest curveball
Pitching,Pitch Types,CuMax,Maximum Curve Speed,Fastest curveball
Pitching,Pitch Types,CuTot,Total Curve Speed,Sum for averaging
Pitching,Pitch Types,CuCnt,Curve Speed Count,Number of curves with speed
Pitching,Pitch Types,CuAvg,Average Curve Speed,CuTot/CuCnt
Pitching,Pitch Types,SlMin,Minimum Slider Speed,Slowest slider
Pitching,Pitch Types,SlMax,Maximum Slider Speed,Fastest slider
Pitching,Pitch Types,SlTot,Total Slider Speed,Sum for averaging
Pitching,Pitch Types,SlCnt,Slider Speed Count,Number of sliders with speed
Pitching,Pitch Types,SlAvg,Average Slider Speed,SlTot/SlCnt
Pitching,Pitch Types,CtMin,Minimum Cutter Speed,Slowest cutter
Pitching,Pitch Types,CtMax,Maximum Cutter Speed,Fastest cutter
Pitching,Pitch Types,CtTot,Total Cutter Speed,Sum for averaging
Pitching,Pitch Types,CtCnt,Cutter Speed Count,Number of cutters with speed
Pitching,Pitch Types,CtAvg,Average Cutter Speed,CtTot/CtCnt
Pitching,Pitch Types,ChMin,Minimum Change Speed,Slowest changeup
Pitching,Pitch Types,ChMax,Maximum Change Speed,Fastest changeup
Pitching,Pitch Types,ChTot,Total Change Speed,Sum for averaging
Pitching,Pitch Types,ChCnt,Change Speed Count,Number of changeups with speed
Pitching,Pitch Types,ChAvg,Average Change Speed,ChTot/ChCnt
Pitching,Pitch Types,SpMin,Minimum Splitter Speed,Slowest splitter
Pitching,Pitch Types,SpMax,Maximum Splitter Speed,Fastest splitter
Pitching,Pitch Types,SpTot,Total Splitter Speed,Sum for averaging
Pitching,Pitch Types,SpCnt,Splitter Speed Count,Number of splitters with speed
Pitching,Pitch Types,SpAvg,Average Splitter Speed,SpTot/SpCnt
Pitching,Pitch Types,KnMin,Minimum Knuckle Speed,Slowest knuckleball
Pitching,Pitch Types,KnMax,Maximum Knuckle Speed,Fastest knuckleball
Pitching,Pitch Types,KnTot,Total Knuckle Speed,Sum for averaging
Pitching,Pitch Types,KnCnt,Knuckle Speed Count,Number of knuckleballs with speed
Pitching,Pitch Types,KnAvg,Average Knuckle Speed,KnTot/KnCnt
Pitching,Pitch Types,DpMin,Minimum Dropball Speed,Slowest dropball
Pitching,Pitch Types,DpMax,Maximum Dropball Speed,Fastest dropball
Pitching,Pitch Types,DpTot,Total Dropball Speed,Sum for averaging
Pitching,Pitch Types,DpCnt,Dropball Speed Count,Number of dropballs with speed
Pitching,Pitch Types,DpAvg,Average Dropball Speed,DpTot/DpCnt
Pitching,Pitch Types,RsMin,Minimum Riseball Speed,Slowest riseball
Pitching,Pitch Types,RsMax,Maximum Riseball Speed,Fastest riseball
Pitching,Pitch Types,RsTot,Total Riseball Speed,Sum for averaging
Pitching,Pitch Types,RsCnt,Riseball Speed Count,Number of riseballs with speed
Pitching,Pitch Types,RsAvg,Average Riseball Speed,RsTot/RsCnt
Pitching,Pitch Types,SwMin,Minimum Screwball Speed,Slowest screwball
Pitching,Pitch Types,SwMax,Maximum Screwball Speed,Fastest screwball
Pitching,Pitch Types,SwTot,Total Screwball Speed,Sum for averaging
Pitching,Pitch Types,SwCnt,Screwball Speed Count,Number of screwballs with speed
Pitching,Pitch Types,SwAvg,Average Screwball Speed,SwTot/SwCnt
Pitching,Pitch Types,DcMin,Minimum Dropcurve Speed,Slowest dropcurve
Pitching,Pitch Types,DcMax,Maximum Dropcurve Speed,Fastest dropcurve
Pitching,Pitch Types,DcTot,Total Dropcurve Speed,Sum for averaging
Pitching,Pitch Types,DcCnt,Dropcurve Speed Count,Number of dropcurves with speed
Pitching,Pitch Types,DcAvg,Average Dropcurve Speed,DcTot/DcCnt
Pitching,Pitch Types,OrMin,Minimum Other Speed,Slowest other pitch
Pitching,Pitch Types,OrMax,Maximum Other Speed,Fastest other pitch
Pitching,Pitch Types,OrTot,Total Other Speed,Sum for averaging
Pitching,Pitch Types,OrCnt,Other Speed Count,Number of other pitches with speed
Pitching,Pitch Types,OrAvg,Average Other Speed,OrTot/OrCnt
Pitching,Pitch Types,T00,Total 0-0 Counts,Number of 0-0 counts
Pitching,Pitch Types,S00,0-0 Count Strikes,Strikes at 0-0
Pitching,Pitch Types,S%00,0-0 Strike Percentage,Strike % at 0-0
Pitching,Pitch Types,E00+,0-0 Positive Outcome,Out/K/DT/Err/FC at 0-0
Pitching,Pitch Types,E00-,0-0 Negative Outcome,Hit/BB/HBP at 0-0
Pitching,Pitch Types,E00*,0-0 Neutral Outcome,SAC/SF/CI at 0-0
Pitching,Pitch Types,T01,Total 0-1 Counts,Number of 0-1 counts
Pitching,Pitch Types,S01,0-1 Count Strikes,Strikes at 0-1
Pitching,Pitch Types,S%01,0-1 Strike Percentage,Strike % at 0-1
Pitching,Pitch Types,E01+,0-1 Positive Outcome,Positive outcome at 0-1
Pitching,Pitch Types,E01-,0-1 Negative Outcome,Negative outcome at 0-1
Pitching,Pitch Types,E01*,0-1 Neutral Outcome,Neutral outcome at 0-1
Pitching,Pitch Types,T02,Total 0-2 Counts,Number of 0-2 counts
Pitching,Pitch Types,S02,0-2 Count Strikes,Strikes at 0-2
Pitching,Pitch Types,S%02,0-2 Strike Percentage,Strike % at 0-2
Pitching,Pitch Types,E02+,0-2 Positive Outcome,Positive outcome at 0-2
Pitching,Pitch Types,E02-,0-2 Negative Outcome,Negative outcome at 0-2
Pitching,Pitch Types,E02*,0-2 Neutral Outcome,Neutral outcome at 0-2
Pitching,Pitch Types,T10,Total 1-0 Counts,Number of 1-0 counts
Pitching,Pitch Types,S10,1-0 Count Strikes,Strikes at 1-0
Pitching,Pitch Types,S%10,1-0 Strike Percentage,Strike % at 1-0
Pitching,Pitch Types,E10+,1-0 Positive Outcome,Positive outcome at 1-0
Pitching,Pitch Types,E10-,1-0 Negative Outcome,Negative outcome at 1-0
Pitching,Pitch Types,E10*,1-0 Neutral Outcome,Neutral outcome at 1-0
Pitching,Pitch Types,T11,Total 1-1 Counts,Number of 1-1 counts
Pitching,Pitch Types,S11,1-1 Count Strikes,Strikes at 1-1
Pitching,Pitch Types,S%11,1-1 Strike Percentage,Strike % at 1-1
Pitching,Pitch Types,E11+,1-1 Positive Outcome,Positive outcome at 1-1
Pitching,Pitch Types,E11-,1-1 Negative Outcome,Negative outcome at 1-1
Pitching,Pitch Types,E11*,1-1 Neutral Outcome,Neutral outcome at 1-1
Pitching,Pitch Types,T12,Total 1-2 Counts,Number of 1-2 counts
Pitching,Pitch Types,S12,1-2 Count Strikes,Strikes at 1-2
Pitching,Pitch Types,S%12,1-2 Strike Percentage,Strike % at 1-2
Pitching,Pitch Types,E12+,1-2 Positive Outcome,Positive outcome at 1-2
Pitching,Pitch Types,E12-,1-2 Negative Outcome,Negative outcome at 1-2
Pitching,Pitch Types,E12*,1-2 Neutral Outcome,Neutral outcome at 1-2
Pitching,Pitch Types,T20,Total 2-0 Counts,Number of 2-0 counts
